오름명,행정시,소재지,비고,표고,면적,형태,데이터기준일자
까그래기,제주시,제주특별자치도 제주시 조천읍 교래리 128,49,429,132944,원형,2022-02-14
꾀꼬리오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산33,58,428.3,110674,말굽형(북서향),2022-02-14
나시리오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2683,29,164,51624,말굽형(북향),2022-02-14
남산봉,서귀포시,제주특별자치도 서귀포시 성산읍 신풍리 1675-21,54,178.8,185332,원형,2022-02-14
남송이오름,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 산33,139,339,366531,복합형,2022-02-14
남짓은오름,제주시,제주특별자치도 제주시 연동 산25,167,296.7,637805,말굽형(북서향),2022-02-14
낭끼오름,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 3954,40,185.1,82601,원형,2022-02-14
넉시악,서귀포시,제주특별자치도 서귀포시 남원읍 의귀리 531-1,56,146.2,128854,말굽형(서북향),2022-02-14
넙거리,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,102,436.6,269857,원형,2022-02-14
넙거리,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,100,810,488263,말굽형(서향),2022-02-14
넙게오름,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 943,62,246.5,260296,말굽형(서북향),2022-02-14
노꼬메족은오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산138,124,774.4,601440,말굽형(북서향),2022-02-14
노꼬메큰오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산138,234,833.8,923692,말굽형(북서향),2022-02-14
노로오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산139,105,1070,475274,복합형,2022-02-14
노리손이,제주시,제주특별자치도 제주시 연동 산137,136,616.2,222294,말굽형(북향),2022-02-14
녹남봉,서귀포시,제주특별자치도 서귀포시 대정읍 신도리 1304-1,50,100.4,124498,원형,2022-02-14
녹하지악,서귀포시,제주특별자치도 서귀포시 중문동 산5,121,620.5,340236,원추형,2022-02-14
논고악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,143,843,567616,원형,2022-02-14
논오름,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 12-1,56,186,92566,말굽형(북동향),2022-02-14
논오름,제주시,제주특별자치도 제주시 삼양일동 558-1,13,52.5,16244,원추형,2022-02-14
높은오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산213-1,175,405.3,951657,원형,2022-02-14
누운오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,71,1711.2,144548,원추형,2022-02-14
누운오름,제주시,제주특별자치도 제주시 한림읍 금악리 산10-5,57,407,420021,복합형,2022-02-14
눈오름,제주시,제주특별자치도 제주시 애월읍 봉성리 2952-2,31,131.1,51576,말굽형(북향),2022-02-14
눈오름,제주시,제주특별자치도 제주시 애월읍 장전리 1756,13,127.5,20780,말굽형(동향),2022-02-14
눈오름,제주시,제주특별자치도 제주시 해안동 166-5,54,203.5,105922,말굽형(북서향),2022-02-14
느지리오름,제주시,제주특별자치도 제주시 한림읍 상명리 산5,85,225,332844,복합형,2022-02-14
늡서리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,59,488.9,115505,말굽형(북동향),2022-02-14
능화오름,제주시,제주특별자치도 제주시 오라동 산107,91,975.5,194370,말굽형(북향),2022-02-14
다랑쉬,제주시,제주특별자치도 제주시 구좌읍 세화리 산6,227,382.4,800463,원형,2022-02-14
다래오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,64,983.8,128686,말굽형(서향),2022-02-14
다래오름,제주시,제주특별자치도 제주시 애월읍 어음리 산25,87,696.5,231752,말굽형(북동향),2022-02-14
다래오름동북쪽2,제주시,제주특별자치도 제주시 애월읍 어도리 산1,40,725.9,97951,말굽형(동향),2022-02-14
단산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 3124-1,113,158,339982,원추형,2022-02-14
달산봉,서귀포시,제주특별자치도 서귀포시 표선면 하천리 1043-1,87,136.5,152322,말굽형(동향),2022-02-14
당산봉,제주시,제주특별자치도 제주시 한경면 용수리 4705,118,148,534135,복합형,2022-02-14
당산봉 알봉,제주시,제주특별자치도 제주시 한경면 용수리 2705,53,83,184267,원추형,2022-02-14
당오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산68-1,118,473,415293,원형,2022-02-14
