오름명,행정시,소재지,비고,표고,면적,형태,데이터기준일자
소록산,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 87-1,102,441.9,386069,말굽형(북동향),2022-02-14
소병악,서귀포시,제주특별자치도 서귀포시 대정읍 상창리 산2-1,93,473,178836,말굽형(서향),2022-02-14
소산오름,제주시,제주특별자치도 제주시 아라일동 산31,48,412.8,30782,원추형,2022-02-14
소소름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 220,42,162.4,91501,말굽형(서향),2022-02-14
소수산봉,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 887,38,53,34119,원추형,2022-02-14
소왕산,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 2160,28,103,35071,말굽형(서향),2022-02-14
손자봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산52,76,255.8,279921,복합형,2022-02-14
송아오름,제주시,제주특별자치도 제주시 한경면 조수리 134,29,104,30701,말굽형(남향),2022-02-14
송악산,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 산2,99,104,585982,복합형,2022-02-14
쇠머리오름,제주시,제주특별자치도 제주시 우도면 연평리 산19-1,128,132.5,457393,복합형,2022-02-14
수악,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산10,149,474.3,273067,원추형,2022-02-14
수월봉,제주시,제주특별자치도 제주시 한경면 고산리 3763,73,78,249820,원추형,2022-02-14
쉼터동산,제주시,제주특별자치도 제주시 애월읍 광령리 산183-1,47,1102.8,69083,원추형,2022-02-14
시오름,서귀포시,제주특별자치도 서귀포시 서홍동 산1,118,757.8,276280,원추형,2022-02-14
식산봉,서귀포시,제주특별자치도 서귀포시 성산읍 오조리 313,55,60.2,53199,원추형,2022-02-14
식은이오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 1450,45,286,139259,말굽형(남서향),2022-02-14
신산오름,서귀포시,제주특별자치도 서귀포시 안덕면 창천리 334,30,175,66974,말굽형(북향),2022-02-14
쌀손장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,98,912.5,298849,복합형,2022-02-14
썩은다리,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 1913,37,42,18910,원추형,2022-02-14
아끈다랑쉬,제주시,제주특별자치도 제주시 구좌읍 세화리 2593-1,58,198,164072,원형,2022-02-14
아부오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산164-1,51,301.4,314926,원형,2022-02-14
아슴선이,서귀포시,제주특별자치도 서귀포시 표선면 하천리 2405,29,148.8,192921,원추형,2022-02-14
안돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 66-2,93,368.1,298148,말굽형(동향),2022-02-14
안세미,제주시,제주특별자치도 제주시 봉개동 산2,91,396.4,174311,말굽형(북동향),2022-02-14
안오름,제주시,제주특별자치도 제주시 애월읍 고성리 1146,21,186,114268,원형,2022-02-14
안천이오름,제주시,제주특별자치도 제주시 애월읍 어음리 산124,77,742,156344,말굽형(북서향),2022-02-14
안친오름,제주시,제주특별자치도 제주시 구좌읍 송당리 808,22,192,46443,말굽형(북향),2022-02-14
알밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 59-1,154,393.6,505969,말굽형(북서향),2022-02-14
알방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,85,1584.8,214973,원추형,2022-02-14
알선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산14,21,291.2,45512,말굽형(동향),2022-02-14
알오름,서귀포시,제주특별자치도 서귀포시 성산읍 시흥리 산1-5,51,145.9,142515,원추형,2022-02-14
알오름,제주시,제주특별자치도 제주시 건입동 387-1,21,96.2,35659,원추형,2022-02-14
알오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산114,31,446.2,87253,원추형,2022-02-14
어대오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 509-1,55,210.5,117905,말굽형(북서향),2022-02-14
어도오름,제주시,제주특별자치도 제주시 애월읍 봉성리 3920-24,73,143.2,376225,말굽형(북향),2022-02-14
어스렁오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-1,37,1332.4,82247,원추형,2022-02-14
어승생,제주시,제주특별자치도 제주시 해안동 220-1,350,1169,2543257,원형(화구호),2022-02-14
어오름,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산24,38,638,81238,원추형,2022-02-14
어점이악,서귀포시,제주특별자치도 서귀포시 도순동 산1,45,820.1,41425,원추형,2022-02-14
어후오름,제주시,제주특별자치도 제주시 조천읍 교래리 산137-2,116,1016.9,229772,말굽형(북동향),2022-02-14
여문영아리,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산145,134,514,600325,말굽형(북향),2022-02-14
여절악,서귀포시,제주특별자치도 서귀포시 성산읍 신흥리 산18,50,209.8,110552,말굽형(남향),2022-02-14
열안지,제주시,제주특별자치도 제주시 오라이동 산97,113,583.2,368262,말굽형(남동향),2022-02-14
열안지오름,제주시,제주특별자치도 제주시 봉개동 산78-1,54,328.7,55701,말굽형(북향),2022-02-14
영아리,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산24,93,693,477656,말굽형(서향),2022-02-14
영주산,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산18-1,176,326.4,1338920,말굽형(동남향),2022-02-14
영천악,서귀포시,제주특별자치도 서귀포시 상효동 산123,97,277,256127,원형,2022-02-14
예촌망,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 95-11,63,67.5,312719,원추형,2022-02-14
오구시오름,제주시,제주특별자치도 제주시 오등동 570-1,29,188.6,27729,말굽형(동향),2022-02-14
오드싱오름,제주시,제주특별자치도 제주시 오등동 1554,56,206.2,169387,말굽형(북향),2022-02-14
오백나한,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,389,1639.3,599856,복합형,2022-02-14
왕관릉,제주시,제주특별자치도 제주시 오등동 산182,150,1666.3,43678,원추형,2022-02-14
왕오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,38,1223,92387,원추형,2022-02-14
왕이메,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산79,92,612.4,709179,복합형,2022-02-14
용눈이오름,제주시,제주특별자치도 제주시 구좌읍 종달리 산28,88,247.8,404264,복합형,2022-02-14
용머리,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 112-1,43,48.5,59515,원추형,2022-02-14
우보악,서귀포시,제주특별자치도 서귀포시 색달동 912-1,96,301.4,399924,말굽형(동향),2022-02-14
우진제비,제주시,제주특별자치도 제주시 조천읍 선흘리 산111,126,410.6,406250,말굽형(북동향),2022-02-14
운지악,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 760-2,24,113.5,37596,말굽형,2022-02-14
웃밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 84,137,416.8,376587,말굽형(북향),2022-02-14
웃방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,73,1747.9,89796,원추형,2022-02-14
웃선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산140-2,32,307.3,64789,말굽형(남향),2022-02-14
웃세오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,75,1740,273416,원추형,2022-02-14
원당봉,제주시,제주특별자치도 제주시 삼양일동 산1-1,120,170.7,663286,말굽형(북향),2022-02-14
원수악,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산41,98,458.5,584056,말굽형(서향),2022-02-14
월라봉,서귀포시,제주특별자치도 서귀포시 안덕면 감산리 1148,101,200.7,818809,복합형,2022-02-14
월라산,서귀포시,제주특별자치도 서귀포시 신효동 산1,63,117.8,498972,복합형,2022-02-14
월랑지,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산5,35,260.2,83957,말굽형(북향),2022-02-14
월산봉,서귀포시,제주특별자치도 서귀포시 강정동 1461,62,212.2,0,원추형,2022-02-14
유건에오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2302,75,190.2,204487,원형,2022-02-14
은월봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산21,75,179.6,209307,말굽형(북동향),2022-02-14
응악,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 127,33,178,23052,원추형,2022-02-14
이계오름,제주시,제주특별자치도 제주시 한경면 청수리 1854,38,167.7,48811,말굽형(동향),2022-02-14
이달봉,제주시,제주특별자치도 제주시 애월읍 봉성리 산71-1,119,488.7,250204,원추형,2022-02-14
이달이촛대봉,제주시,제주특별자치도 제주시 애월읍 봉성리 산71-1,86,456,104258,원추형,2022-02-14
이돈이오름,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산3,68,663.2,287784,말굽형(서향),2022-02-14
이스렁오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,73,1352.6,155494,원추형,2022-02-14
이승악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,114,539,332070,말굽형(동향),2022-02-14
인정오름,서귀포시,제주특별자치도 서귀포시 토평동 1952,49,232.5,212119,원형,2022-02-14
입산봉,제주시,제주특별자치도 제주시 구좌읍 동김녕리 1033,65,84.5,229521,원형,2022-02-14
입석오름,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산2-1,39,1189,102586,원추형,2022-02-14
자배봉,서귀포시,제주특별자치도 서귀포시 남원읍 위미리 산143,111,211.3,440293,원형,2022-02-14
장구목,제주시,제주특별자치도 제주시 오라이동 산107,70,1813,227978,원추형,2022-02-14
장오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,27,1132.1,55507,원추형,2022-02-14
장자오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 2768,31,215.9,71285,원추형,2022-02-14
저지오름,제주시,제주특별자치도 제주시 한경면 저지리 산51,104,239.3,379316,원형,2022-02-14
절물오름(족은대나),제주시,제주특별자치도 제주시 봉개동 산78-1,120,656.7,305719,말굽형(북동향),2022-02-14
절물오름(큰대나),제주시,제주특별자치도 제주시 봉개동 산78-1,147,696.9,397123,원형,2022-02-14
정물알오름,제주시,제주특별자치도 제주시 한림읍 금악리 105-1,41,355.5,52854,원추형,2022-02-14
정물오름,제주시,제주특별자치도 제주시 한림읍 금악리 산52-1,151,466.1,494293,말굽형(북서향),2022-02-14
정월오름,제주시,제주특별자치도 제주시 한림읍 금능리 565-61,56,106.2,192446,말굽형(북서향),2022-02-14
제석오름,서귀포시,제주특별자치도 서귀포시 표선면 하천리 429-1,48,87.5,58164,원추형,2022-02-14
제지기오름,서귀포시,제주특별자치도 서귀포시 보목동 산1,85,94.8,77023,원추형,2022-02-14
족은개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,79,664,175778,말굽형(서향),2022-02-14
족은노로오름,제주시,제주특별자치도 제주시 애월읍 고성리 산145,34,1019.2,95867,복합형,2022-02-14
족은노리손이,제주시,제주특별자치도 제주시 봉개동 산294-22,28,413.8,14756,원추형,2022-02-14
족은대비악,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산59,71,541.2,188947,복합형,2022-02-14
족은돌이미,제주시,제주특별자치도 제주시 구좌읍 송당리 2451,24,274,66814,말굽형(동남향),2022-02-14
족은드레,제주시,제주특별자치도 제주시 해안동 산220-1,279,1339.2,685355,원추형,2022-02-14
족은바리메,제주시,제주특별자치도 제주시 애월읍 상가리 산124,126,725.8,688020,말굽형(북서향),2022-02-14
족은방애오름,제주시,제주특별자치도 제주시 조천읍 교래리 산 44,28,437.5,61947,말굽형(북동향),2022-02-14
족은오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,64,1698.9,116502,원추형,2022-02-14
족은지그리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,69,504,120674,말굽형(남동향),2022-02-14
종재기악,제주시,제주특별자치도 제주시 구좌읍 덕천리 1307,45,254.9,22813,원추형,2022-02-14
좌보미,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산6,112,342,631356,말굽형(남향),2022-02-14
좌보미알오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 93,23,227.5,18946,원형,2022-02-14
주체오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 864,35,220.6,61751,말굽형(남서향),2022-02-14
지미봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산3-1,160,165.8,423814,말굽형(북향),2022-02-14
진물굼부리,제주시,제주특별자치도 제주시 봉개동 산78-1,25,573,50595,말굽형(남서향),2022-02-14
천아오름,제주시,제주특별자치도 제주시 애월읍 광령리 산182,87,797,157348,말굽형(북서향),2022-02-14
천아오름,제주시,제주특별자치도 제주시 한림읍 상대리 1689,49,133.6,127387,말굽형(서남향),2022-02-14
체오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 산 2,117,382.2,553701,말굽형(북동향),2022-02-14
쳇망오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,55,444.6,140916,원형,2022-02-14
쳇망오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,55,1354.9,238510,말굽형(북서향),2022-02-14
칡(족은)오름,제주시,제주특별자치도 제주시 봉개동 466-2,42,326.5,51407,원추형,2022-02-14
칡(큰)오름,제주시,제주특별자치도 제주시 봉개동 466-2,47,336.6,50953,원추형,2022-02-14
칡오름,서귀포시,제주특별자치도 서귀포시 상효동 산129,96,271,337365,원형,2022-02-14
칡오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산155,49,303.9,126006,말굽형(남서향),2022-02-14
큰노리손이,제주시,제주특별자치도 제주시 봉개동 산294-22,52,426.6,69773,원추형,2022-02-14
큰돌이미,제주시,제주특별자치도 제주시 구좌읍 송당리 산255-1,82,311.9,273308,말굽형(동북향),2022-02-14
큰드레,제주시,제주특별자치도 제주시 오라동 산107,140,1628.4,490592,원추형,2022-02-14
큰지그리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,118,598,344976,말굽형(남서향),2022-02-14
테역장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,50,846.3,104519,말굽형(북향),2022-02-14
토산봉,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산13,75,175.4,398823,복합형,2022-02-14
통오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 1976-1,43,143.1,258114,말굽형(서향),2022-02-14
파군봉,제주시,제주특별자치도 제주시 애월읍 하귀1리 688-1,50,84.5,59269,원추형,2022-02-14
판포오름,제주시,제주특별자치도 제주시 한경면 판포리 935-1,58,93.2,192446,말굽형(동향),2022-02-14
폭낭오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산43,76,645.5,583171,복합형,2022-02-14
하논,서귀포시,제주특별자치도 서귀포시 호근동 149,88,143.4,1266825,원형,2022-02-14
하늬보기,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산89,42,592.3,17795,원추형,2022-02-14
한대오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산1,36,921.4,132263,원추형,2022-02-14
후곡악,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4504,36,206.2,54168,말굽형(서남향),2022-02-14
흑악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,40,590.1,32197,원추형,2022-02-14
흙붉은오름,제주시,제주특별자치도 제주시 아라일동 산67,146,1380.7,721090,말굽형(동향),2022-02-14
